C OI,C CHNG IN OI,C VOLUME,C IV,C LTP,C CHNG,C BID QTY,C BID,C ASK,C ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"6,638",415,"55,482",27.76,6,-10.85,600,5.55,6,"1,280","22,100.00",160,"1,517.30","1,580.30",160,362,"1,149.50",-,26,26,26
578,288,"13,411",28.3,5.75,-8.45,400,4.85,6.95,40,"22,150.00",160,"1,564.25","1,632.90",160,-,-,-,-,-,-
"3,925",-278,"40,014",28.43,5,-6.65,40,5.1,10.95,240,"22,200.00",80,"1,575.05","1,699.00",80,405.35,"1,261.00",-,8,8,8
518,183,"9,516",29.55,5.5,-4.65,120,4.45,5.1,80,"22,250.00",400,"1,447.10","2,041.55",400,-,-,-,-,-,-
"2,518",451,"30,022",30.99,6.45,-2.1,80,3.9,7.65,80,"22,300.00",400,"1,497.80","2,064.10",400,-,800,-,-,-,1
"1,225",822,"10,198",30.26,4.7,-2.9,600,3.75,5.7,80,"22,350.00",400,"1,561.70",-,-,-,-,-,-,-,-
"3,046",829,"30,084",29.72,3.5,-3.15,160,3.5,12.75,600,"22,400.00",400,"1,776.10","2,200.80",400,-,-,-,-,-,-
973,558,"7,847",31.55,4.6,-1.35,40,3.95,6.45,880,"22,450.00",400,"1,551.85","1,940.55",400,-,-,-,-,-,-
"8,648","5,975","86,851",32.08,4.45,-1,"3,200",4.1,4.5,40,"22,500.00",400,"1,590.70","1,980.65",400,-,-,-,-,-,-
447,259,"4,990",31.89,3.65,-1.4,120,3.4,5.9,"1,280","22,550.00",400,"1,838.60","2,327.45",400,-,-,-,-,-,-
"2,018","1,446","18,280",32.37,3.5,-0.9,80,3.3,3.5,"8,080","22,600.00",400,"1,886.30","2,306.40",400,-,-,-,-,-,-
347,236,"4,368",33.14,3.6,-0.75,80,3.55,4.85,80,"22,650.00",400,"1,932.80","2,176.30",400,-,-,-,-,-,-
"1,353",760,"16,050",33.41,3.3,-0.6,40,3.3,4,"1,400","22,700.00",400,"1,982.60","2,464.95",400,-,-,-,-,-,-
443,106,"3,904",34.31,3.5,-0.25,80,3,6,"1,000","22,750.00",400,"1,986.80","2,540.10",400,-,-,-,-,-,-
"1,575","1,365","14,902",34.28,3,-0.4,"3,560",3,4.55,80,"22,800.00",400,"2,078.65","2,577.20",400,-,-,-,-,-,-
"1,556","1,304","9,654",35.54,3,-0.2,80,2.15,3.45,200,"22,900.00",400,"2,163.05","2,453.20",400,-,-,-,-,-,-
"8,115","6,976","38,478",36.78,3,-,80,2.95,3,40,"23,000.00",400,"2,264.25","2,617.70",400,-,"1,512.00",-,-,-,2
850,631,"9,391",38.02,3,0.05,80,2.45,5.95,120,"23,100.00",400,"2,367.45","2,660.35",400,-,-,-,-,-,-
"1,125","1,020","8,966",38.92,2.8,0.1,80,2.2,3.25,120,"23,200.00",400,"2,451.60","2,774.60",400,-,-,-,-,-,-
360,291,"5,230",40.3,2.9,0.35,40,2.8,3.2,520,"23,300.00",400,"2,558.50","2,928.20",400,-,-,-,-,-,-
493,404,"5,240",41.59,2.95,0.6,280,2.8,5.3,600,"23,400.00",400,"2,655.00","2,979.50",400,-,-,-,-,-,-
"2,077","1,480","12,665",42.61,2.85,0.5,80,2.6,2.85,120,"23,500.00",400,"2,751.75","3,114.30",400,-,-,-,-,-,-
540,475,"4,882",43.79,2.85,0.75,80,2.8,4.8,480,"23,600.00",400,"2,847.70","3,216.45",400,-,-,-,-,-,-
347,203,"3,470",44.87,2.8,0.9,80,2.2,2.8,400,"23,700.00",400,"2,941.95","3,323.30",400,-,-,-,-,-,-
206,109,"3,150",45.74,2.65,0.9,80,2.25,4.2,40,"23,800.00",400,"3,030.00","3,512.85",400,-,-,-,-,-,-
515,305,"3,998",47.19,2.8,1.15,680,2.5,2.8,"1,360","23,900.00",400,"3,135.25","3,571.25",400,-,-,-,-,-,-
"2,161","1,882","9,780",47.71,2.5,0.85,80,2.4,2.8,200,"24,000.00",400,"3,218.95","3,734.75",400,-,-,-,-,-,-
