C OI,C CHNG IN OI,C VOLUME,C IV,C LTP,C CHNG,C BID QTY,C BID,C ASK,C ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
20,14,19,-,"1,225.00",110,450,"1,204.25","1,216.95","1,700","20,450.00","3,450",2.05,2.15,"3,450",-0.85,2.1,18.59,"2,946",260,"1,829"
867,718,754,-,"1,157.65",-32.35,300,"1,156.75","1,160.00",50,"20,500.00","30,350",2.25,2.35,"25,450",-0.75,2.3,18.13,"49,711","12,098","29,959"
92,92,94,-,"1,118.00",232.75,200,"1,107.00","1,115.70","3,550","20,550.00","5,550",2.3,2.4,"4,850",-1.05,2.4,17.45,"3,460",694,"1,354"
250,98,120,-,"1,065.00",-23.25,100,"1,057.90","1,062.30",300,"20,600.00","7,550",2.55,2.6,"9,750",-1,2.6,17.01,"48,524","1,438","13,193"
-,-,-,-,-,-,300,984.65,"1,025.45","1,800","20,650.00","4,700",3,3.1,"2,800",-1.3,3,16.69,"9,532","2,510","4,222"
58,28,34,-,961.85,44.65,150,959.05,963,200,"20,700.00","43,050",3.45,3.5,"22,150",-1.2,3.45,16.25,"39,398","8,413","15,278"
11,8,12,-,885.4,-52.85,100,909.6,915.3,300,"20,750.00",550,3.9,4,"3,000",-1.55,3.9,15.93,"7,423",873,"2,615"
418,297,343,-,859.65,-15.7,150,860.3,864.8,100,"20,800.00","4,300",4.45,4.5,"30,250",-1.9,4.5,15.48,"76,023","15,451","27,681"
2,-,-,-,-,-,350,788.5,833.75,"1,800","20,850.00","1,900",5.25,5.35,"3,250",-1.8,5.25,15.2,"13,455","2,415","4,409"
428,335,371,-,762,-22.5,150,762.75,765.55,100,"20,900.00","1,000",6.45,6.5,"4,450",-2.15,6.5,14.98,"84,999","23,788","32,873"
4,-,-,-,-,-,400,691.15,735.45,"1,800","20,950.00","3,500",7.45,7.55,"3,150",-2.65,7.45,14.55,"21,125","3,108","5,891"
"4,205","1,956","4,234",-,667.25,-21.65,100,666,667.95,100,"21,000.00","7,250",9,9.1,"9,050",-3,9,14.28,"1,29,003","19,571","50,835"
31,8,19,-,620,23.05,150,617.65,621.3,50,"21,050.00","6,450",10.8,10.95,"5,100",-2.95,11,13.99,"21,079","1,991","4,174"
"1,163",312,682,-,563.6,-34.2,750,570.4,572.85,50,"21,100.00","1,500",13.3,13.35,"1,250",-2.85,13.4,13.7,"65,965","8,627","18,139"
179,96,250,-,519.9,-38,150,523.65,526.15,400,"21,150.00",400,16.3,16.4,"4,500",-3.6,16.45,13.5,"28,625",801,"5,126"
"1,781",700,"2,464",-,474,-33.8,300,477.9,479.8,100,"21,200.00",950,20.4,20.5,"7,150",-3.8,20.5,13.31,"98,403","7,384","27,648"
360,100,578,-,429.2,-36.2,100,433.25,434.8,950,"21,250.00","2,850",25.2,25.35,"1,900",-4.2,25.25,13.11,"45,465","4,696","9,578"
"2,536","1,522","5,001",6.61,388.5,-30.3,150,389.7,390,50,"21,300.00","1,450",31.55,31.65,"3,750",-4.15,31.65,12.99,"1,17,183","12,677","34,086"
437,134,"1,122",8.37,347,-24.8,150,347.2,348.25,750,"21,350.00","1,100",38.8,38.95,"2,450",-3.55,39.05,12.84,"67,012","7,572","14,770"
"8,120","1,023","15,091",8.91,305.75,-23.85,"1,000",306.35,307,50,"21,400.00",50,47.8,47.9,"1,000",-3.9,47.95,12.67,"1,89,584","10,333","42,381"
"1,506",661,"4,539",9.24,267.65,-27,250,268.25,269.2,50,"21,450.00","1,550",58.6,58.8,"1,550",-4.45,58.9,12.55,"80,743","14,552","22,463"
"15,803","1,188","68,181",9.63,232.9,-25.7,250,232.4,233,450,"21,500.00","3,400",73,73.25,"4,200",-4.25,73.15,12.57,"2,70,305","14,211","45,324"
"5,269",414,"29,956",9.88,199.15,-25.25,"1,250",199,199.45,50,"21,550.00",900,89.15,89.4,50,-4.25,89.25,12.51,"1,02,154","6,259","13,810"
"30,353","7,441","2,08,343",9.95,168.15,-24.7,"1,800",168.05,168.35,"1,700","21,600.00",500,108.2,108.35,400,-3.1,108.3,12.5,"3,21,399","15,053","40,519"
"26,774","18,592","1,92,351",10.08,140.55,-24.4,"2,150",140.15,140.5,"1,450","21,650.00",700,130.05,130.4,"1,200",-2.4,130.35,12.51,"1,85,535","12,696","18,246"
