C OI,C CHNG IN OI,C VOLUME,C IV,C LTP,C CHNG,C BID QTY,C BID,C ASK,C ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"52,586","19,629","5,13,712",13.36,6.2,1.45,"1,100",6.2,6.25,300,"22,550.00","4,700",426.25,431,150,-831.4,432.75,-,247,61,61
"87,394","7,711","9,62,245",13.64,4.45,0.45,950,4.45,4.6,200,"22,600.00",600,474.95,478,50,-186.75,475.65,-,940,65,119
"24,730","9,807","3,55,187",14,3.45,-,"2,250",3,3.45,"1,800","22,650.00",200,523.25,528.35,50,-822.1,531.6,-,5,3,3
"74,591","15,360","6,58,346",14.45,2.6,-,"57,600",2.55,2.65,"35,900","22,700.00",150,573.1,577.55,350,-175.6,576,-,94,21,44
"13,818","-3,218","2,66,531",15.12,2.15,-0.25,"15,600",2.15,2.25,"7,900","22,750.00","2,500",621.75,627.35,"1,150",-200.15,627.7,-,41,4,7
"70,288","36,249","5,63,670",15.89,2,-0.1,"7,900",2,2.05,"7,750","22,800.00",150,673.05,677,200,-177.05,683.05,-,66,6,27
"16,390","9,456","1,25,562",16.67,1.8,-0.1,"1,400",1.7,1.85,"1,650","22,850.00","1,800",689.7,772.8,"1,800",-,"1,027.90",-,-,-,5
"41,343","14,652","2,43,406",17.42,1.6,-0.1,"18,450",1.55,1.6,"1,800","22,900.00",150,741.35,778.65,150,-252.55,780,-,51,10,11
"5,263","1,105","60,307",17.8,1.45,-0.1,"23,250",1.35,1.4,"12,500","22,950.00",200,820.8,829.75,200,-707.5,923.45,44.78,2,1,1
"94,044","24,968","3,66,378",18.71,1.35,-0.05,"2,62,500",1.3,1.35,"1,19,550","23,000.00",600,869.25,876,50,-188.25,875.2,-,331,66,200
"16,501","3,890","75,423",18.89,1,-0.1,"48,200",1,1.05,"81,350","23,050.00","1,800",889.25,"1,036.05","1,000",-,-,-,-,-,-
"69,860","20,463","1,93,414",19.38,0.85,-0.15,"1,37,450",0.85,0.9,"2,63,200","23,100.00","1,800",937.9,"1,022.65","1,800",-,-,-,-,-,-
"3,538","1,944","23,338",20.09,0.8,-0.2,"17,850",0.8,0.85,"15,000","23,150.00","1,800",987.95,"1,082.55","1,800",-,"1,361.40",-,-,-,1
"16,176","2,056","47,414",20.77,0.8,-0.1,"2,16,200",0.75,0.8,"69,700","23,200.00","1,800","1,038.40","1,132.75","1,800",-,-,-,-,-,-
"4,385",-208,"13,868",21.44,0.7,-0.15,"59,400",0.7,0.75,"30,300","23,250.00","1,800","1,086.85","1,182.75","1,800",-,-,-,-,-,-
"27,209",109,"41,682",22.25,0.7,-0.1,"1,31,350",0.7,0.75,"1,04,400","23,300.00","1,450","1,140.10","1,187.75",150,-694.05,"1,271.65",55.43,4,1,1
"2,101",-321,"10,207",23.06,0.65,-0.15,"78,850",0.65,0.7,"19,100","23,350.00","1,800","1,188.20","1,272.35","3,600",-,-,-,-,-,-
"25,319","-2,340","38,902",23.68,0.65,-0.1,"15,050",0.65,0.7,"46,500","23,400.00","1,800","1,237.55","1,322.30","1,800",-,-,-,-,-,-
"13,839","-1,658","27,334",24.48,0.65,-0.1,"3,300",0.65,0.7,"40,050","23,450.00",50,"1,313.45","1,351.45",200,-287.2,"1,383.10",50.58,2,1,2
"4,172","4,172","20,969",25.27,0.65,-5.4,"34,350",0.65,0.7,"26,150","23,500.00","1,800","1,334.35","1,439.75","3,600",-,-,-,-,-,-
373,373,"4,185",25.84,0.6,-4.75,"50,150",0.6,0.65,"2,400","23,550.00","1,750","1,271.20","1,529.90","1,000",-,-,-,-,-,-
"6,401","6,401","19,153",26.39,0.55,-4.15,"1,05,650",0.55,0.6,"14,650","23,600.00","1,750","1,407.70","1,582.15","1,000",-,-,-,-,-,-
"2,655","2,655","11,912",27.16,0.55,-3.55,"1,08,850",0.55,0.6,"14,850","23,650.00","1,750","1,439.95","1,638.10","1,750",-,-,-,-,-,-
